SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ITC,EQ,19-Sep-22,331.3,329.1,336.9,329.1,335.6,335.6,334.29,14365461,4802297577,117354,9948423,69.25
ITC,EQ,20-Sep-22,335.6,338.75,339.6,335,335.25,336,337.51,9526068,3215133990,93112,5807352,60.96
ITC,EQ,21-Sep-22,336,336,345.2,335.5,340.6,340.95,340.58,20992080,7149565839,161744,11514472,54.85
ITC,EQ,22-Sep-22,340.95,341,348.75,340.9,345.75,345.05,345.83,24179987,8362263405,204326,12531726,51.83
ITC,EQ,23-Sep-22,345.05,347.5,349.55,343.3,347,346.4,346.63,22838807,7916609371,173655,14348402,62.82
ITC,EQ,26-Sep-22,346.4,344.85,345.95,331.75,332.5,332.6,337.58,16205789,5470794971,221652,7435093,45.88
ITC,EQ,27-Sep-22,332.6,335,339.55,334,335.55,334.85,336.38,9991052,3360744442,134083,4166039,48.73
ITC,EQ,28-Sep-22,334.85,331.95,333.3,324.3,324.5,324.95,328.07,15552911,5102409611,201684,8842101,56.85
ITC,EQ,29-Sep-22,324.95,329,334.9,327.75,334.35,333.05,332.71,18281337,6082448649,175901,9484291,51.88
ITC,EQ,30-Sep-22,333.05,333.05,335.75,330.15,332.2,332.2,332.94,12427919,4137766673,145664,7235622,58.22
ITC,BL,3-Oct-22,310.85,332.2,332.2,332.2,332.2,332.2,332.2,3808527,1265192669,1,-,-
ITC,EQ,3-Oct-22,332.2,332.9,333,323.25,324.9,324.4,327.3,9111289,2982119370,143508,4039931,44.34
ITC,EQ,4-Oct-22,324.4,328.7,334,328,333.1,332.85,331.45,8803255,2917827879,121561,5156257,58.57
ITC,EQ,6-Oct-22,332.85,335,339.3,332.55,335.9,336.65,335.98,22235092,7470586427,155672,16811239,75.61
ITC,EQ,7-Oct-22,336.65,336.8,336.85,331.3,334.45,334.1,333.79,10506078,3506819674,115865,7085146,67.44
ITC,EQ,10-Oct-22,334.1,330,331.45,326.05,328.15,327.85,328.18,9388996,3081254841,134866,5490519,58.48
ITC,BL,11-Oct-22,332.2,327.85,327.85,327.85,327.85,327.85,327.85,3806279,1247888570,1,-,-
ITC,EQ,11-Oct-22,327.85,329,330.45,325.1,325.9,326.3,328.01,10609956,3480158341,141982,6828001,64.35
ITC,EQ,12-Oct-22,326.3,327.95,331.45,324.75,330,330.1,328.41,10337544,3394961391,141735,5813744,56.24
ITC,EQ,13-Oct-22,330.1,329.95,331.3,328,328.85,328.65,329.33,7266724,2393148173,88889,4110062,56.56
